84																																				
0	OPEN	3	0	19	109	40	-1	72	-1	-1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Lee Enfield	3	0	19	109	40	-1	72	-1	-1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Sten Mk II	3	0	19	109	40	-1	5	-1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
3	Bren	3	0	19	109	40	71	-1	51	1	0	21	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0
4	Gun Crew A	3	0	19	109	40	-1	-1	72	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5	Mauser	3	0	19	109	40	-1	136	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
6	MG 42	3	0	19	109	40	9	-1	43	1	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7	2 inch Mortar	3	0	19	109	40	14	5	-1	1	0	0	12	0	18	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8	OPEN	3	0	19	109	40	9	-1	43	1	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9	Panzerschreck	3	0	19	109	40	12	136	-1	1	0	0	0	6	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
10	MP40	3	0	19	109	40	-1	7	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
11	PIAT	3	0	19	109	40	11	51	-1	1	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
12	3 inch Mortar	3	0	19	109	40	19	72	-1	1	0	0	25	0	10	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
13	8cm Mortar	3	0	19	109	40	20	-1	43	1	0	0	25	0	10	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
14	Vickers MMG	3	0	19	109	40	17	-1	51	1	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15	Springfield	3	0	19	109	40	-1	128	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
16	Scoped Mauser	3	0	19	109	40	-1	31	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
17	Assault MG42	3	0	19	109	40	-1	35	43	1	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
18	OPEN	3	0	19	109	40	10	-1	51	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0
19	Allied Sniper	3	0	58	70	40	-1	128	-1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
20	Demo Charge	3	0	19	109	40	-1	72	41	1	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
21	Gun Crew G	3	0	19	109	40	-1	-1	136	1	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0
22	Gewehr 43	3	0	19	109	40	-1	98	-1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
23	MP40 / Expl.	3	0	19	109	40	-1	7	41	1	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
24	Vcle Crew Pstl	0	0	19	109	40	-1	-1	99	-1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	Mauser-RGren	3	0	19	109	40	-1	64	136	1	0	0	0	0	0	0	0	5	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0
26	Vehicle Crew G	0	0	19	109	40	-1	-1	43	-1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Heavy MG.42	3	0	19	109	40	52	-1	43	1	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
28	StG 44	3	0	19	109	40	-1	54	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
29	StG 44/Grenades	3	0	19	109	40	-1	54	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
30	Vcle Crew Ldr Thpsn	0	0	19	109	40	-1	-1	70	-1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Flamethrower G	3	0	19	109	40	-1	58	43	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	2	0	2	0	0	0	0	0	0
32	Mauser/PzF30	3	0	19	109	40	-1	136	81	1	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
33	Heavy MG34	3	0	19	109	40	84	-1	43	1	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
34	Assault MG34	3	0	19	109	40	-1	85	43	1	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
35	MG34	3	0	19	109	40	85	-1	43	1	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
36	Mauser/Molotov	3	0	19	109	40	-1	136	104	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
37	MP40/PzF30	3	0	19	109	40	-1	7	81	1	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
38	Flamethrower A	3	0	19	109	40	-1	75	51	1	0	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
39	Carbine	3	0	19	109	40	-1	136	51	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
40	Lee Enfield	3	0	19	109	40	-1	72	-1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
