138	 																																																																																																														
Melee	0	0	-1	0	0	1	5	5	5	0	1	1	0	0	0	0	511	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	431	398	476	0	431	2	2	3	-1	3	3	3	4	-1	4	4	4	5	-1	5	5	5	6	-1	6	1	8	8	-1	1	1	6	8	-1	1	1	4	8	-1	1	1	3	6	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
Grenade	1	1	-1	10	0	7	50	100	50	0	1	1	0	1	0	0	511	1	0	0	0	0	0	0	-1	0	-1	1	1	0	8	0	0	16	-1	8	-1	0	5	-1	1	-1	1	1	0	350	0	350	398	-1	15	-1	15	10	-1	20	-1	20	15	-1	25	-1	25	20	-1	30	-1	30	25	-1	7	-1	0	150	-1	7	-1	0	150	-1	7	-1	0	150	-1	7	-1	0	150	-1	4	-1	0	36	-1	3	-1	0	30	-1	2	-1	0	24	-1	1	-1	-1	16	1	0
Secondary Explosion	2	2	-1	10	2	4	100	100	30	0	1	1	0	10	0	0	452	0	0	0	0	0	0	0	-1	2	-1	-1	5	0	20	0	0	30	0	0	-1	-1	0	1	1	-1	-1	1	0	314	0	0	0	10	10	-1	-1	10	200	200	-1	-1	200	500	500	-1	-1	500	5000	5000	-1	-1	5000	5000	8	-1	-1	45	5000	8	-1	-1	45	5000	8	-1	-1	45	5000	8	-1	-1	30	-1	5	-1	-1	16	-1	4	-1	-1	12	-1	3	-1	-1	8	-1	2	-1	-1	6	2	0
Mortar Support	3	19	3	8	0	7	100	35	10	1200	1	1	136	15	10	2	441	0	0	0	1	0	0	0	-1	2	-1	3	-1	0	20	0	8	0	-1	50	-1	50	-1	-1	1	-1	1	-1	0	256	0	256	0	-1	100	-1	100	-1	-1	200	-1	200	-1	-1	500	-1	500	-1	-1	1000	-1	1000	-1	-1	15	-1	5	-1	-1	15	-1	5	-1	-1	15	-1	5	-1	-1	15	-1	5	-1	-1	5	-1	1	-1	-1	4	-1	1	-1	-1	3	-1	0	-1	-1	2	-1	0	-1	47	0
Artillery Support	4	2	-1	10	0	7	100	100	30	0	1	1	0	10	0	0	503	0	0	0	0	0	0	0	-1	4	-1	-1	-1	0	30	0	0	0	-1	0	-1	-1	-1	-1	1	-1	-1	-1	0	256	0	0	0	-1	10	-1	-1	-1	-1	200	-1	-1	-1	-1	500	-1	-1	-1	-1	5000	-1	-1	-1	-1	45	-1	-1	-1	-1	45	-1	-1	-1	-1	45	-1	-1	-1	-1	30	-1	-1	-1	-1	16	-1	1	-1	-1	12	-1	1	-1	-1	8	-1	-1	-1	-1	6	-1	-1	-1	50	0
Sten Mk II	5	5	1	3	0	7	5	100	5	0	30	5	7	2	5	3	398	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	372	0	0	0	0	10	-1	-1	-1	-1	25	-1	-1	-1	-1	50	-1	-1	-1	-1	100	-1	-1	-1	-1	4	-1	-1	-1	-1	3	-1	-1	-1	-1	3	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	0
Gammon Bomb	6	135	-1	10	1	7	100	100	50	0	1	1	0	2	0	0	511	1	0	0	0	0	0	0	-1	1	-1	-1	-1	0	8	0	0	8	-1	8	-1	-1	-1	-1	1	-1	-1	-1	0	350	0	0	0	-1	15	-1	-1	-1	-1	20	-1	-1	-1	-1	25	-1	-1	-1	-1	30	-1	-1	-1	-1	77	-1	-1	-1	-1	77	-1	-1	-1	-1	77	-1	-1	-1	-1	77	-1	-1	-1	-1	4	-1	-1	-1	-1	3	-1	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	107	0
MP40	7	7	1	3	0	7	2	100	4	0	32	4	9	2	5	3	464	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	350	0	0	0	0	15	-1	-1	-1	-1	30	-1	-1	-1	-1	50	-1	-1	-1	-1	100	-1	-1	-1	-1	4	-1	-1	-1	-1	3	-1	-1	-1	-1	3	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	0
Coax MG42	8	45	1	7	0	7	2	100	5	0	250	8	23	15	8	3	431	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	20	-1	-1	-1	-1	0	-1	-1	-1	-1	256	0	0	0	0	25	-1	-1	-1	-1	50	-1	-1	-1	-1	400	-1	-1	-1	-1	1200	-1	-1	-1	-1	8	-1	-1	-1	-1	6	-1	-1	-1	-1	4	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	104	2
MG42	9	9	1	7	0	7	2	100	3	0	250	8	26	15	8	3	452	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	6	-1	-1	-1	-1	0	-1	-1	-1	-1	350	0	0	0	0	50	-1	-1	-1	-1	100	-1	-1	-1	-1	600	-1	-1	-1	-1	1200	-1	-1	-1	-1	8	-1	-1	-1	-1	6	-1	-1	-1	-1	4	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	0
M1A1 75mm Howitzer	10	120	1	9	0	7	60	60	1	200	1	1	0	5	5	5	452	0	0	0	0	0	0	0	-1	2	1	2	-1	0	20	4	0	0	-1	20	20	20	-1	-1	0	0	0	-1	0	431	431	398	0	-1	100	100	100	-1	-1	400	250	400	-1	-1	750	500	750	-1	-1	1150	1150	1150	-1	-1	30	90	5	-1	-1	30	90	5	-1	-1	30	90	5	-1	-1	25	90	5	-1	-1	7	2	1	-1	-1	5	1	0	-1	-1	3	1	0	-1	-1	2	1	0	-1	120	0
PIAT	11	11	-1	4	1	2	200	100	10	50	1	1	32	3	10	15	416	0	0	0	0	0	0	0	-1	-1	1	-1	-1	0	0	4	0	0	-1	-1	8	-1	-1	-1	-1	0	-1	-1	0	0	431	0	0	-1	-1	15	-1	-1	-1	-1	25	-1	-1	-1	-1	50	-1	-1	-1	-1	90	-1	-1	-1	-1	102	-1	-1	-1	-1	102	-1	-1	-1	-1	102	-1	-1	-1	-1	102	-1	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	6	0
Panzerschreck	12	12	2	4	1	2	200	100	5	50	1	1	9	2	10	15	452	0	0	1	0	0	0	0	-1	-1	1	-1	-1	0	0	4	0	0	-1	-1	8	-1	-1	-1	-1	0	-1	-1	0	0	431	0	0	-1	-1	50	-1	-1	-1	-1	80	-1	-1	-1	-1	120	-1	-1	-1	-1	150	-1	-1	-1	-1	200	-1	-1	-1	-1	200	-1	-1	-1	-1	200	-1	-1	-1	-1	200	-1	-1	-1	-1	2	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	12	0
Colt .45 M1911	13	51	1	11	0	7	4	30	5	0	7	1	2	0	5	3	452	1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	-1	350	0	0	0	0	5	-1	-1	-1	-1	10	-1	-1	-1	-1	25	-1	-1	-1	-1	50	-1	-1	-1	-1	4	-1	-1	-1	-1	3	-1	-1	-1	-1	2	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	0
